iter	Passed	Remaining
218	303	1080
219	303	1076
220	304	1072
221	304	1068
222	305	1064
223	306	1060
224	306	1055
225	307	1051
226	307	1048
227	308	1044
228	309	1040
229	309	1037
230	310	1033
231	312	1033
232	312	1029
233	313	1025
234	314	1022
235	314	1018
236	315	1015
237	315	1011
238	316	1008
239	317	1004
240	317	1001
241	318	997
242	319	994
243	319	990
244	320	987
245	320	983
246	321	980
247	322	976
248	322	973
249	323	970
250	323	966
251	324	963
252	325	960
253	326	958
254	327	956
255	328	953
256	328	950
257	329	947
258	330	944
259	330	940
260	331	937
261	331	934
262	332	931
263	333	928
264	333	925
265	334	922
266	334	919
267	335	916
268	336	913
269	336	910
270	337	907
271	338	904
272	338	901
273	339	898
274	339	895
275	340	893
276	341	891
277	342	888
278	342	885
279	343	883
280	344	880
281	344	877
282	345	874
283	346	872
284	346	869
285	347	866
286	347	864
287	348	861
288	349	858
289	349	855
290	350	853
291	350	850
292	351	847
293	352	845
294	352	842
295	353	840
296	353	837
297	354	835
298	355	832
299	356	831
300	357	829
301	358	827
302	358	825
303	359	823
304	360	820
305	360	818
306	361	816
307	362	813
308	362	811
309	363	809
310	364	807
311	364	804
312	365	802
313	366	799
314	366	797
315	367	794
316	367	792
317	368	790
318	369	787
319	369	785
320	370	783
321	371	782
322	372	780
323	373	778
324	373	776
325	374	774
326	375	772
327	376	770
328	376	768
329	377	765
330	377	763
331	378	761
332	379	759
333	379	757
334	380	755
335	381	752
336	381	750
337	382	748
338	382	746
339	383	744
340	384	742
341	384	740
342	385	737
343	386	736
344	386	734
345	387	733
346	388	730
347	389	728
348	389	726
349	390	724
350	390	722
351	391	720
352	392	718
353	392	716
354	393	714
355	394	712
356	394	710
357	395	708
358	396	707
359	396	705
360	397	703
361	398	702
362	398	700
363	399	698
364	400	697
365	402	696
366	403	695
367	403	693
368	404	691
369	405	690
370	406	688
371	406	686
372	407	684
373	408	683
374	408	681
375	409	679
376	409	677
377	410	675
378	411	673
379	411	671
380	412	670
381	413	668
382	413	666
383	414	664
384	414	662
385	416	662
386	417	661
387	418	659
388	418	657
389	419	655
390	419	654
391	420	652
392	421	650
393	421	648
394	422	647
395	423	645
396	423	643
397	424	641
398	424	640
399	425	638
400	426	636
401	426	634
402	427	633
403	427	631
404	428	629
405	429	627
406	429	626
407	430	625
408	431	623
409	432	622
410	433	620
411	433	619
412	434	617
413	435	616
414	436	614
415	436	613
416	437	611
417	437	609
418	438	608
419	439	606
420	439	605
421	440	603
422	441	601
423	441	600
424	442	598
425	443	597
426	443	595
427	444	593
428	445	592
429	446	591
430	447	590
431	447	588
432	448	587
433	448	585
434	449	583
435	450	582
436	450	580
437	451	579
438	452	577
439	452	576
440	453	574
441	454	573
442	454	571
443	455	570
444	455	568
445	456	567
446	457	565
447	457	564
448	458	562
449	459	561
450	459	559
451	460	557
452	461	556
453	462	555
454	462	554
455	463	552
456	464	551
457	464	549
458	465	548
459	466	547
460	466	545
461	467	544
462	467	542
463	468	541
464	469	539
465	469	538
466	470	536
467	471	535
468	471	534
469	472	532
470	473	531
471	473	530
472	474	528
473	475	527
474	476	526
475	477	525
476	478	524
477	478	522
478	479	521
479	480	520
480	480	518
481	481	517
482	482	516
483	482	514
484	483	513
485	483	511
486	484	510
487	485	509
488	485	507
489	486	506
490	487	504
